track_id,track_name,album_id,artist_ids,artist_names,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo
2to7lyxrfBNb1TGyz6xrrd,You Know My Name,0pktbiljs3V5CO45IK5Bxt,['4kKaAWGdu6WW0W415RWaQA'],['South Park Mexican'],0.627,2000,0.000473,0.885,284307,0.731,1,0.384,2,0.146,-6.466,1,51,2000-08-15,0.0332,121.297
5H3B1WtZYGmyOYOXgQltKU,Under The Influence,6t7956yu5zYf5A829XRiHC,"['7dGJo4pcD2V6oG8kP0tJRR', '5Qi4Bb7a8C0a00NZcA77L0']","['Eminem', 'D12']",0.705,2000,0.0174,0.921,321667,0.752,1,0.0,6,0.135,-4.32,1,59,2000-05-23,0.27,96.985
1UwwbPgKGOoSbqqHm9Xxzn,Jumpdafuckup,5d9Rip6cM1xM8uYVepN70l,['6159IBm5gLPwG4BcJXseXc'],['Soulfly'],0.235,2000,0.00951,0.598,311987,0.954,1,2.860000000000001e-05,2,0.127,-4.86,1,58,2000-01-01,0.0801,100.98
6eDYgjKl4vUgRusxb7THDu,True - Single Edit,5UUutTu9xlQnG9duYrIIW7,['2urZrEdsq72kx0UzfYN8Yv'],['Spandau Ballet'],0.391,2000,0.459,0.742,329147,0.5329999999999999,0,0.148,0,0.064,-9.098,1,62,2000-05-15,0.0288,97.395
7BgUcOjSOlKJXASLgJ6bx1,Bag Lady,3cADvHRdKniF9ELCn1zbGH,['7IfculRW2WXyzNQ8djX8WX'],['Erykah Badu'],0.578,2000,0.365,0.7240000000000001,348893,0.416,0,0.0,5,0.0969,-8.964,0,55,2000-10-31,0.0841,151.181
2X9fsxb6O6bYEopJYmUbNC,Gold,5UUutTu9xlQnG9duYrIIW7,['2urZrEdsq72kx0UzfYN8Yv'],['Spandau Ballet'],0.639,2000,0.258,0.711,231480,0.74,0,0.0111,10,0.104,-7.776,0,67,2000-05-15,0.0361,143.053
01UstUPbzPgq2MNp6h0tVo,The National Anthem,19RUXBFyM4PpmrLRdtqWbp,['4Z8W4fKeB5YxbusRsdQVPb'],['Radiohead'],0.387,2000,0.00237,0.486,351693,0.754,0,0.858,2,0.224,-8.552,1,59,2000-10-01,0.0378,91.52
7Gi8kaILAUgjYqgdee9410,3rd Planet,5SbcupirEParczvqqyUPXL,['1yAwtBaoHLEDWAnWR87hBT'],['Modest Mouse'],0.433,2000,0.326,0.536,238493,0.5670000000000001,1,1.87e-05,7,0.109,-7.512,1,52,2000-06-13,0.113,82.191
1TwVcKR6JojvPwBGbWZT36,Dance Tonight,5cT0D5QzJo8coTaeT4OynR,['0OUXTnqjvTg4iZ7Lhq6vv7'],['Lucy Pearl'],0.711,2000,0.00637,0.787,221280,0.425,0,0.00169,10,0.196,-5.692,0,55,2000,0.0641,99.225
63W11KVHDOpSlh3XMQ7qMg,Rock And Roll Part II,3qzpmMw9JdlEOn2zt9S4EV,['61zv3hX7l838ZyhaDyAx8S'],['Gary Glitter'],0.552,2000,0.000548,0.752,180600,0.218,0,0.7879999999999999,11,0.0699,-15.177,0,64,2000-01-01,0.0653,130.06799999999998
